iter	Passed	Remaining
0	285	28265
1	372	18260
2	459	14846
3	542	13020
4	627	11913
5	716	11231
6	803	10681
7	901	10370
8	979	9908
9	1055	9500
10	1128	9133
11	1206	8844
12	1281	8578
13	1359	8348
14	1433	8123
15	1511	7937
16	1589	7758
17	1669	7607
18	1750	7460
19	1828	7315
20	1910	7188
21	1987	7047
22	2069	6926
23	2152	6816
24	2227	6682
25	2310	6575
26	2398	6484
27	2489	6402
28	2579	6315
29	2669	6227
30	2761	6145
31	2852	6061
32	2947	5984
33	3041	5903
34	3129	5812
35	3221	5727
36	3310	5636
37	3421	5582
38	3510	5491
39	3599	5399
40	3694	5316
41	3787	5229
42	3882	5146
43	3965	5046
44	4056	4958
45	4148	4870
46	4235	4775
47	4321	4681
48	4409	4589
49	4497	4497
50	4585	4406
51	4678	4318
52	4777	4236
53	4871	4150
54	4960	4058
55	5051	3969
56	5138	3876
57	5231	3788
58	5329	3703
59	5422	3614
60	5509	3522
61	5600	3432
62	5692	3343
63	5782	3252
64	5872	3161
65	5959	3070
66	6051	2980
67	6141	2890
68	6233	2800
69	6323	2709
70	6409	2617
71	6500	2527
72	6593	2438
73	6696	2352
74	6791	2263
75	6884	2174
76	6978	2084
77	7076	1996
78	7179	1908
79	7274	1818
80	7392	1734
81	7490	1644
82	7587	1553
83	7703	1467
84	7802	1376
85	7895	1285
86	7987	1193
87	8078	1101
88	8178	1010
89	8259	917
90	8348	825
91	8434	733
92	8525	641
93	8616	550
94	8718	458
95	8806	366
96	8897	275
97	8985	183
98	9078	91
99	9168	0
